topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions,avg_jsd_threat_economic,avg_jsd_threat_it_system,avg_jsd_threat_legal,most_disruptive_threat,most_effective_threat_validity,most_effective_threat_consistency
FITTRACK,Liberal,1.0,0.5054,0.0,1,0.0011,0.0004,0.0025,Legal,Economic,Economic
LOYALTY,Conservative,1.0,0.9666,0.0,1,0.0002,0.0001,0.0005,Legal,Economic,Economic
DNATEST,Liberal,1.0,0.5798,0.0,2,0.0001,0.0,0.0001,Economic,Legal,Economic
TRACKCO,Tie,0.5,0.8545,0.0,2,0.0113,0.005,0.0066,Economic,Economic,IT_System
CONCERNCO,Moderate,1.0,0.8458,0.0,1,0.012,0.0004,0.0104,Economic,Economic,Economic
BENEFITCO,Democrat,1.0,0.676,0.0,1,0.0205,0.0035,0.0162,Economic,Economic,Economic
CONTROLCO,Liberal,1.0,0.6762,0.0,1,0.007,0.0004,0.0089,Legal,Economic,Economic
UNDERSTANDCO,Liberal,1.0,0.7429,0.0,1,0.0135,0.0005,0.0161,Legal,Economic,Economic
POSNEGCO,Democrat,1.0,0.484,0.0,1,0.0022,0.0004,0.0003,Economic,Economic,Economic
ANONYMOUS,Tie,0.5,0.7161,0.0,2,0.0015,0.0023,0.0008,IT_System,Economic,Economic
TRACKGOV,Tie,0.5,0.8015,0.0,2,0.0123,0.0067,0.0091,Economic,Economic,Economic
CONCERNGOV,Republican,1.0,0.8723,0.0,1,0.0086,0.0003,0.0079,Economic,Economic,Economic
BENEFITGOV,Democrat,1.0,0.673,0.0,1,0.0158,0.0037,0.0118,Economic,Economic,Economic
CONTROLGOV,Democrat,1.0,0.6327,0.0,1,0.0046,0.0002,0.0056,Legal,Economic,Economic
UNDERSTANDGOV,Independent,1.0,0.665,0.0,1,0.0088,0.0005,0.0133,Legal,IT_System,IT_System
POSNEGGOV,Liberal,1.0,0.7018,0.0,1,0.002,0.0,0.0002,Economic,Economic,Economic
CONCERNGRP,Democrat,0.6667,0.7776,0.0,6,0.0084,0.0001,0.0053,Economic,Legal,Legal
CONTROLGRP,Democrat,0.8333,0.6572,0.0,6,0.0059,0.0008,0.0079,Legal,Economic,Economic
PRIVACYREG,Moderate,1.0,0.731,0.0,1,0.0095,0.0008,0.006,Economic,IT_System,IT_System
GOVREGV,Republican,1.0,0.816,0.0,2,0.0014,0.0002,0.001,Economic,Economic,Economic
SHARE,Independent,1.0,0.8824,0.0,1,0.0,0.0005,0.0,IT_System,Economic,Economic
PWMAN,Tie,0.5,0.7226,0.0,2,0.0063,0.0033,0.0061,Economic,Legal,IT_System
SMARTPHONE,Conservative,1.0,0.7826,0.0,1,0.0019,0.0005,0.0129,Legal,Economic,Economic
SMARTAPP,Conservative,1.0,0.9245,0.0,1,0.0119,0.0023,0.01,Economic,Economic,Economic
PUBLICDATA,Democrat,1.0,0.5949,0.0,1,0.0088,0.0026,0.011,Legal,Economic,Economic
RTBF,Moderate,0.5,0.8492,0.0,4,0.0004,0.0036,0.0004,IT_System,Economic,Economic
RTD,Liberal,0.5,0.8044,1.0,4,0.0075,0.0015,0.001,Economic,Economic,Economic
PROFILE,Tie,0.5,0.7947,0.0,2,0.0065,0.003,0.0049,Economic,Economic,Economic
DATAUSE,Democrat,0.5,0.9294,0.5,6,0.0012,0.0003,0.001,Economic,IT_System,IT_System
FACE,Tie,0.2727,0.8143,0.0,11,0.0063,0.0008,0.006,Economic,IT_System,Economic
DB,Moderate,0.6667,0.4477,0.0,3,0.0077,0.0004,0.0054,Economic,IT_System,IT_System
FAMSURV,Democrat,0.2151,0.723,0.0,94,0.0054,0.002,0.0043,Economic,Legal,Legal
MOTHER,Liberal,1.0,0.9233,0.0,1,0.0021,0.0005,0.0027,Legal,Economic,Economic
FATHER,Liberal,1.0,0.8203,0.0,1,0.0021,0.0006,0.0033,Legal,Economic,Economic
SIB,Liberal,1.0,0.8221,0.0,1,0.0004,0.0053,0.0004,IT_System,Economic,Economic
REMARR,Republican,1.0,0.687,0.0,1,0.0007,0.0041,0.0009,IT_System,Economic,Economic
ENG,Moderate,1.0,0.4479,0.0,1,0.0,0.0045,0.0011,IT_System,Economic,Economic
LWPT,Independent,1.0,0.6363,0.0,1,0.0002,0.002,0.0,IT_System,Economic,Economic
ADKIDS,None,0.0,,0.0,1,0.0016,0.0005,0.0011,Economic,Economic,Economic
PAR,Tie,0.25,0.7909,0.0,4,0.0107,0.0025,0.009,Economic,IT_System,IT_System
ROMRELDUR,Liberal,1.0,0.6699,0.0,1,0.007,0.0016,0.007,Economic,Economic,Economic
MARRDUR,Liberal,1.0,0.4981,0.0,1,0.0067,0.0035,0.0056,Economic,Economic,Economic
COHABDUR,Democrat,1.0,0.8597,0.0,1,0.0065,0.0034,0.0054,Economic,Economic,Economic
LWPSP,Democrat,1.0,0.8952,0.0,1,0.0031,0.0004,0.0051,Legal,Economic,Economic
ROMRELSER,Independent,1.0,0.7246,0.0,1,0.0057,0.0012,0.0042,Economic,Economic,Economic
MARRYPREF,Tie,0.5,0.7883,0.0,2,0.0237,0.0019,0.0169,Economic,IT_System,IT_System
HAVEKIDS,Independent,1.0,0.9326,0.0,1,0.0065,0.0023,0.0067,Legal,IT_System,Economic
DNA,Independent,0.625,0.6333,0.0,8,0.002,0.0014,0.0019,Economic,IT_System,IT_System
ORIENTATIONMOD,Liberal,1.0,0.7423,0.0,1,0.0065,0.0039,0.007,Legal,Economic,Economic
FIN_SIT,Democrat,1.0,0.8619,0.0,1,0.0084,0.002,0.0079,Economic,Economic,Economic
FIN_SITFUT,Conservative,1.0,0.9154,0.0,1,0.0098,0.0004,0.0117,Legal,Economic,Economic
FIN_SITMOST,Republican,1.0,0.7716,0.0,1,0.0112,0.0016,0.01,Economic,Economic,Economic
FIN_SITCOMM,Liberal,1.0,0.8478,0.0,1,0.0067,0.0007,0.0063,Economic,Economic,Economic
FIN_SITGROWUP,Democrat,1.0,0.8913,0.0,1,0.0087,0.0025,0.0071,Economic,Economic,Economic
JOBTRAIN,Independent,1.0,0.944,0.0,1,0.0036,0.0007,0.0032,Economic,Economic,Economic
GOVPRIORITY,Independent,0.5,0.8362,0.0,6,0.0076,0.0012,0.0092,Legal,IT_System,IT_System
GOVRESP,Tie,0.25,0.823,0.0,8,0.0004,0.0005,0.0003,IT_System,Economic,Legal
ECON,Democrat,0.2903,0.843,0.0,31,0.0112,0.0021,0.009,Economic,Legal,Legal
INEQ,Independent,0.3333,0.8499,0.0,36,0.0093,0.0011,0.0075,Economic,IT_System,IT_System
ECIMP,Republican,0.6,0.7011,0.0,10,0.003,0.0002,0.0026,Economic,Economic,Economic
FINANCE,Tie,0.3333,0.9098,0.0,3,0.0009,0.0009,0.0008,IT_System,Economic,Economic
DEBT,Tie,0.4,0.6335,0.0,5,0.0021,0.0002,0.0015,Economic,Economic,Economic
BENEFITS,Moderate,0.6667,0.4358,0.0,3,0.0031,0.0,0.0054,Legal,Legal,IT_System
WORKHARD,Conservative,1.0,0.8502,0.0,1,0.0058,0.0002,0.0019,Economic,Legal,Economic
POOREASY,Independent,1.0,0.9229,0.0,1,0.0001,0.002,0.0016,IT_System,Economic,Economic
GAP,Independent,0.2788,0.8043,0.0,104,0.0087,0.0041,0.0078,Economic,Legal,Legal
LIFEFIFTY,Democrat,1.0,0.7454,0.0,1,0.005,0.0024,0.0065,Legal,Economic,Economic
BIGHOUSES,Republican,1.0,0.8382,0.0,1,0.0005,0.0001,0.0002,Economic,Economic,Economic
INSTN_CHR,Moderate,1.0,0.9416,0.0,1,0.0034,0.0021,0.0023,Economic,IT_System,IT_System
INSTN_CLGS,Moderate,1.0,0.9087,0.0,1,0.0064,0.0032,0.0057,Economic,IT_System,IT_System
INSTN_LGECRP,Republican,1.0,0.6025,0.0,1,0.0049,0.0036,0.003,Economic,IT_System,IT_System
INSTN_MSCENT,Democrat,1.0,0.6451,0.0,1,0.0047,0.0028,0.0038,Economic,IT_System,IT_System
INSTN_LBRUN,Democrat,1.0,0.8234,0.0,1,0.0045,0.0034,0.0034,Economic,IT_System,IT_System
INSTN_K,Moderate,1.0,0.9448,0.0,1,0.0055,0.0037,0.0045,Economic,IT_System,IT_System
INSTN_BNKS,Republican,1.0,0.8701,0.0,1,0.0088,0.0047,0.0082,Economic,IT_System,IT_System
INSTN_TECHCMP,Democrat,1.0,0.8267,0.0,1,0.0048,0.0024,0.0028,Economic,Economic,Economic
DIFFPARTY,Independent,1.0,0.9242,0.0,1,0.0091,0.0005,0.0102,Legal,IT_System,IT_System
GOVSIZE,Conservative,0.6667,0.6822,0.0,3,0.0033,0.0005,0.0023,Economic,Legal,Economic
USEXCEPT,Republican,1.0,0.856,0.0,1,0.0049,0.0039,0.0064,Legal,Economic,Economic
WOMENOBS,Independent,1.0,0.9362,0.0,1,0.0006,0.0001,0.0005,Economic,Legal,Legal
OPENIDEN,Independent,1.0,0.9575,0.0,1,0.0054,0.0,0.0026,Economic,Economic,Economic
VTRGHTPRIV,Moderate,1.0,0.8566,0.0,1,0.0044,0.0,0.0021,Economic,Economic,Economic
ALLIES,Independent,1.0,0.9763,0.0,1,0.0013,0.0001,0.0001,Economic,Economic,Economic
PEACESTR,Republican,1.0,0.6538,0.0,1,0.0024,0.0002,0.0009,Economic,Economic,Economic
GOVWASTE,Conservative,1.0,0.7582,0.0,1,0.0049,0.0034,0.0044,Economic,Economic,Economic
COMPROMISEVAL,Republican,1.0,0.6014,0.0,1,0.0034,0.0,0.0021,Economic,Economic,Economic
POORASSIST,Democrat,1.0,0.8015,0.0,1,0.0039,0.001,0.0005,Economic,Economic,Economic
SUPERPWR,Conservative,1.0,0.8427,0.0,1,0.0102,0.0004,0.011,Legal,Economic,Economic
IL_IMM_PRI,Independent,1.0,0.9359,0.0,1,0.0,0.0019,0.0014,IT_System,Economic,Economic
BILLION,Moderate,1.0,0.7524,0.0,1,0.0152,0.0014,0.0041,Economic,Economic,Economic
GLBLZE,Liberal,1.0,0.7167,0.0,1,0.007,0.0001,0.0068,Economic,Economic,Economic
FP_AUTH,Conservative,1.0,0.7116,0.0,1,0.0181,0.005,0.0151,Economic,Economic,Economic
GOVTHC,Independent,1.0,0.9976,0.0,1,0.0031,0.0056,0.0044,IT_System,IT_System,IT_System
SNGLPYER,Liberal,1.0,0.7992,0.0,1,0.0073,0.0035,0.0048,Economic,Economic,Economic
NOGOVTHC,Independent,1.0,0.3892,0.0,1,0.0081,0.0002,0.0084,Legal,Economic,Economic
FREECOLL,Independent,1.0,0.9054,0.0,1,0.0015,0.0026,0.0008,IT_System,Economic,Economic
CRIM_SENT,Liberal,1.0,0.7959,0.0,1,0.0117,0.0004,0.0047,Economic,Economic,Economic
USMILSIZ,Democrat,1.0,0.7168,0.0,1,0.0102,0.0039,0.0071,Economic,Economic,Economic
PROG_RRETRO,Independent,1.0,0.8714,0.0,1,0.0084,0.0001,0.0088,Legal,Economic,Economic
PROG_RNEED,Tie,0.5,0.8989,0.0,2,0.0051,0.0016,0.0058,Legal,Legal,Economic
ELITEUNDMOD,Democrat,1.0,0.6126,0.0,1,0.0107,0.0048,0.0054,Economic,IT_System,Legal
POLINTOL,Tie,0.5,0.8428,0.0,2,0.0062,0.0017,0.0051,Economic,Economic,Economic
CANQUALPOL,Democrat,1.0,0.7391,0.0,1,0.0054,0.0002,0.0028,Economic,IT_System,IT_System
CANMTCHPOL,Liberal,1.0,0.8927,0.0,1,0.0035,0.0,0.0015,Economic,IT_System,IT_System
SOCIETY_TRANS,Moderate,1.0,0.9083,1.0,1,0.0006,0.0021,0.0024,Legal,Economic,IT_System
SOCIETY_RHIST,Independent,1.0,0.9654,0.0,1,0.0001,0.0019,0.0018,IT_System,IT_System,IT_System
SOCIETY_JBCLL,Moderate,1.0,0.8474,0.0,1,0.0012,0.0024,0.0024,Legal,Economic,Economic
SOCIETY_RELG,Liberal,1.0,0.7628,0.0,1,0.0012,0.0014,0.0023,Legal,IT_System,IT_System
SOCIETY_WHT,Democrat,1.0,0.792,0.0,1,0.0009,0.0016,0.0031,Legal,Economic,Economic
SOCIETY_GUNS,Republican,1.0,0.7058,0.0,1,0.0004,0.0029,0.002,IT_System,Economic,Economic
SOCIETY_SSM,Democrat,1.0,0.8892,0.0,1,0.0012,0.0024,0.0018,IT_System,Economic,Economic
PROBOFF,Tie,0.5,0.894,0.0,2,0.0008,0.0017,0.0004,IT_System,Legal,Legal
BUSPROFIT,Independent,1.0,0.9819,0.0,1,0.0001,0.0003,0.0004,Legal,Economic,Economic
CNTRYFAIR,Moderate,1.0,0.9552,0.0,1,0.0047,0.0001,0.0027,Economic,Economic,Economic
GOVPROTCT,Conservative,1.0,0.6653,0.0,1,0.0075,0.0013,0.003,Economic,Economic,Economic
GOVAID,Conservative,1.0,0.7556,0.0,1,0.0016,0.0,0.0009,Economic,Legal,Legal
RELIG_GOV,Independent,1.0,0.9569,0.0,1,0.0002,0.0,0.0,Economic,Economic,Economic
GOODEVIL,Republican,1.0,0.8071,0.0,1,0.0026,0.0,0.0004,Economic,Economic,Economic
PPLRESP,Democrat,1.0,0.7933,0.0,1,0.0018,0.0,0.0003,Economic,Economic,Economic
ELECT_IMPT,Tie,0.5,0.7037,0.0,2,0.0038,0.002,0.001,Economic,Economic,IT_System
ELECT_CONF,Tie,0.5,0.8975,0.0,2,0.0081,0.0047,0.0049,Economic,Economic,IT_System
CANDEXP,Independent,1.0,0.9091,0.0,1,0.0045,0.0009,0.0027,Economic,Economic,Economic
LEGALIMMIGAMT,Democrat,1.0,0.7311,0.0,1,0.0189,0.0031,0.0151,Economic,Economic,Economic
UNIMMIGCOMM,Liberal,1.0,0.6843,0.0,1,0.0318,0.0079,0.0236,Economic,Economic,Economic
GODMORALIMP,Republican,1.0,0.8212,0.0,1,0.0202,0.0066,0.0134,Economic,Economic,Economic
REPRSNTREP,Independent,1.0,0.8287,0.0,1,0.0024,0.0009,0.0008,Economic,Economic,Economic
REPRSNTDEM,Moderate,1.0,0.8129,0.0,1,0.0042,0.0006,0.0019,Economic,Economic,Economic
VTRS_VALS,Moderate,1.0,0.6744,0.0,1,0.0006,0.0005,0.0004,Economic,IT_System,IT_System
